year(X),Production(Y)
1960,10320
1961,10995
1962,12076
1963,10779
1964,9854
1965,12258
1966,10394
1967,11393
1968,16540
1969,18651
1970,20093
1971,23832
1972,26410
1973,24735
1974,21778
1975,24104
1976,28846
1977,29010
1978,31749
1979,35508
1980,31830
1981,36313
1982,37452
1983,42794
1984,45476
1985,44069
1986,47052
1987,44323
1988,46169
1989,54110
1990,49850
1991,55134
1992,55690
1993,57210
1994,59840
1995,65470
1996,62097
1997,69350
1998,66350
1999,71288
2000,76369
2001,69681
2002,72766
2003,65761
2004,72156
2005,68637
2006,69355
2007,75807
2008,78570
2009,80679
2010,80804
